phrase,set,type
a young woman in front of an old man,1,1
an old man behind a young woman,1,2
a young man in front of an old woman,1,3
a young woman behind an old man,1,4
an old woman in front of a young man,1,5
a black cat in front of a white dog,2,1
a white dog behind a black cat,2,2
a black dog in front of a white cat,2,3
a black cat behind a white dog,2,4
a white cat in front of a black dog,2,5
a short woman in front of a tall man,3,1
a tall man behind a short woman,3,2
a short man in front of a tall woman,3,3
a short woman behind a tall man,3,4
a tall woman in front of a short man,3,5
a small bug on a large flower,4,1
a large flower under a small bug,4,2
a small flower on a large bug,4,3
a small bug under a large flower,4,4
a large bug on a small flower,4,5
a small book on a black table,5,1
a black table under a small book,5,2
a small table on a black book,5,3
a small book under a black table,5,4
a black book on a small table,5,5
a young girl in front of a happy soldier,6,1
a happy soldier behind a young girl,6,2
a young soldier in front of a happy girl,6,3
a young girl behind a happy soldier,6,4
a happy girl in front of a young soldier,6,5
a black cow in front of a brown horse,7,1
a brown horse behind a black cow,7,2
a black horse in front of a brown cow,7,3
a black cow behind a brown horse,7,4
a brown cow in front of a black horse,7,5
a sleeping boy in front of a smiling woman,8,1
a smiling woman behind a sleeping boy,8,2
a sleeping woman in front of a smiling boy,8,3
a sleeping boy behind a smiling woman,8,4
a smiling boy in front of a sleeping woman,8,5
a white dog on a brown chair,9,1
a brown chair under a white dog,9,2
a white chair on a brown dog,9,3
a white dog under a brown chair,9,4
a brown dog on a white chair,9,5
a happy man in front of an old woman,10,1
an old woman behind a happy man,10,2
a happy woman in front of an old man,10,3
a happy man behind an old woman,10,4
an old man in front of a happy woman,10,5
a young doctor in front of a smiling patient,11,1
a smiling patient behind a young doctor,11,2
a young patient in front of a smiling doctor,11,3
a young doctor behind a smiling patient,11,4
a smiling doctor in front of a young patient,11,5
a red apple on green paper,12,1
green paper under a red apple,12,2
red paper on a green apple,12,3
a red apple under green paper,12,4
a green apple on red paper,12,5
a white plate on a blue pillow,13,1
a blue pillow under a white plate,13,2
a white pillow on a blue plate,13,3
a white plate under a blue pillow,13,4
a blue plate on a white pillow,13,5
a blue pen on a red folder,14,1
a red folder under a blue pen,14,2
a blue folder on a red pen,14,3
a blue pen under a red folder,14,4
a red pen on a blue folder,14,5
a green pear on a brown leaf,15,1
a brown leaf under a green pear,15,2
a green leaf on a brown pear,15,3
a green pear under a brown leaf,15,4
a brown pear on a green leaf,15,5
a yellow banana on a green knife,16,1
a green knife under a yellow banana,16,2
a yellow knife on a green banana,16,3
a yellow banana under a green knife,16,4
a green banana on a yellow knife,16,5
an orange pepper on a yellow folder,17,1
a yellow folder under an orange pepper,17,2
an orange folder on a yellow pepper,17,3
an orange pepper under a yellow folder,17,4
a yellow pepper on an orange folder,17,5
a plastic bag in front of a brown bottle,18,1
a brown bottle behind a plastic bag,18,2
a plastic bottle in front of a brown bag,18,3
a plastic bag behind a brown bottle,18,4
a brown bag in front of a plastic bottle,18,5
a brown frog on green grass,19,1
green grass under a brown frog,19,2
brown grass on a green frog,19,3
a brown frog under green grass,19,4
a green frog on brown grass,19,5
a black magazine in front of a white mug,20,1
a white mug behind a black magazine,20,2
a black mug in front of a white magazine,20,3
a black magazine behind a white mug,20,4
a white magazine in front of a black mug,20,5
a pink bowl in front of a blue cup,21,1
a blue cup behind a pink bowl,21,2
a pink cup in front of a blue bowl,21,3
a pink bowl behind a blue cup,21,4
a blue bowl in front of a pink cup,21,5
a tissue box on yellow paper,22,1
yellow paper under a tissue box,22,2
tissue paper on a yellow box,22,3
a tissue box under yellow paper,22,4
a yellow box on tissue paper,22,5
a purple shirt on a green knife,23,1
a green knife under a purple shirt,23,2
a purple knife on a green shirt,23,3
a purple shirt under a green knife,23,4
a green shirt on a purple knife,23,5
a young man in front of an angry woman,24,1
an angry woman behind a young man,24,2
a young woman in front of an angry man,24,3
a young man behind an angry woman,24,4
an angry man in front of a young woman,24,5
a black phone on gray pants,25,1
gray pants under a black phone,25,2
black pants on a gray phone,25,3
a black phone under gray pants,25,4
a gray phone on black pants,25,5
a rusty bicycle in front of an old fence,26,1
an old fence behind a rusty bicycle,26,2
a rusty fence in front of an old bicycle,26,3
a rusty bicycle behind an old fence,26,4
an old bicycle in front of a rusty fence,26,5
a black marker on a red shirt,27,1
a red shirt under a black marker,27,2
a black shirt on a red marker,27,3
a black marker under a red shirt,27,4
a red marker on a black shirt,27,5
a white sock on black headphones,28,1
black headphones under a white sock,28,2
white headphones on a black sock,28,3
a white sock under black headphones,28,4
a black sock on white headphones,28,5
an open book in front of a closed window,29,1
a closed window behind an open book,29,2
an open window in front of a closed book,29,3
an open book behind a closed window,29,4
a closed book in front of an open window,29,5
a full glass in front of an empty bottle,30,1
an empty bottle behind a full glass,30,2
a full bottle in front of an empty glass,30,3
a full glass behind an empty bottle,30,4
an empty glass in front of a full bottle,30,5
